"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",0.000576964588764945,-0.00140954180639354,0.000141374989000207,0.000108008195123689,4.84473606401553e-05,4.4094794619378e-05,-7.07341730807644e-05,6.02379792004701e-07,4.2796658092758e-05,-3.90032775899783e-05,5.52211877409305e-05,-5.7017356404188e-06,1.90629732101188e-05,-4.82777740475097e-05,5.14536735726023e-05,-6.80639752820092e-05,-2.70197600537026e-05,2.24611639655e-05,1.95168842757562e-05,-1.84331999400883e-05,1.6338188220261e-05,1.73978176430066e-06,-5.14472232836753e-06,7.9694242876177e-05,-8.30560280031621e-05,6.90034288032868e-05,-1.3057307889483e-05,1.2918560002137e-05,1.04153390436522e-05,2.07989890110771e-06,8.56064816633441e-06,1.79541534817957e-05,-1.86266068138649e-05,6.74836349590712e-05,1.66268573388492e-05,-2.01181846166241e-05,1.47027494659794e-05,2.09202236643061e-05,-2.17566280197659e-05,-1.97689912938323e-05,-0.00020519476417334,0.000435335877622022,-0.000712370126736373,-0.000436795408351304,0.000188958941421177,-0.000114139120567233,-0.000760668323135707,-0.000499134811413581,-0.000523067934326968,0.000860471410038302,0.00017003353090174,-0.000564424276297946,0.000482596325205782,0.000512647596839598,0.000213635571120277,5.11513553976864e-05,0.00027042723989385,-1.75077526697891e-06,7.15114672614802e-06,3.90187343810599e-06,8.58200384478121e-06,9.75897016256505e-07,8.55000449292775e-07,2.42480600793607e-06,2.30756516605133e-06,2.9591903086354e-06,-4.38703930813984e-06,2.40448691439618e-05,0.00176913938466834,-0.000369415169378527,-5.2817679820241e-05,0.000750602418530096,0.000843654030475125,0.00034045552385452,-0.00189579176355645,0.000620166056118302,-7.47000249122212e-05,-1.69721499118854e-05,0.00148457103611305,-0.0074379741372649,0.00511255158657189,0.00773089909147152,3.06903309972584e-05,-7.44592597277898e-05,-2.83158810895189e-05
"east_of_england","alpha_D",-0.00140954180639354,0.0104519143157755,-0.000308760410274333,-0.000226175204877437,-5.67596858990746e-05,-6.96049983755878e-05,0.000132365865499308,3.2380589564751e-05,-0.000151985400302998,0.00010228541136468,6.76739782534069e-06,1.00973219245706e-05,-4.2576786282158e-05,0.000197355080130245,-0.000163856235741174,0.000614318758498426,0.000143502578259174,-0.000109974191454667,-5.81451441931865e-05,0.0001471524943438,-3.57444102444782e-05,-3.79880966036324e-05,4.24755947420084e-05,-0.000223091796635677,0.000288834390799766,-0.000254000574853127,-4.03914950295718e-05,4.99253105852705e-05,-6.24757936097156e-05,6.06622497640311e-06,-3.25596295341965e-05,3.28509334991039e-06,1.1171854144622e-05,-0.000161026172478435,9.72743032518875e-07,-2.79761861501263e-05,7.92028351304635e-05,-0.000186342306690367,0.000252906998540914,-0.000116024428479304,0.00185833037534071,0.00113287248294711,-0.00063810684929664,0.000261140102539122,-0.00052934890742642,3.89372065368185e-05,0.00136399263327878,-0.00233651944894653,0.0016295780065139,-0.00329123456371423,-0.000448956387499836,0.0017962364520949,-0.00152370907521461,-0.000655105018251241,-0.000829258848765877,0.000339216325601394,0.0028249975225977,3.10215193371955e-07,-2.83462323279926e-05,-8.80046330513323e-06,-1.65792941996157e-05,-2.77107732604575e-06,-1.91521179163796e-06,-1.79210868624509e-05,-4.20631271523265e-06,-1.03077668549262e-05,1.05609365312201e-05,-0.00360641831547944,-0.00836242840838197,0.000555162568190318,-0.000184813637305655,7.27927427649851e-05,-0.00220433790513213,0.00057537228785317,-0.0013152045655161,-0.00187061726218823,-8.3995450069016e-05,3.17621993367484e-05,-0.0430516297577056,0.0401885337695564,-0.0279619837040512,0.0201384556463798,-0.00100927658199924,0.000629834704191414,0.000304605525667225
"east_of_england","alpha_death_hosp",0.000141374989000207,-0.000308760410274333,0.000703137256236138,9.50748251219888e-05,3.12619527283338e-05,3.07827760568147e-05,-8.16743636165848e-05,2.644212509414e-05,-6.00552887430569e-06,1.16701120656563e-05,-5.08674429405069e-06,5.99366419348401e-06,1.18891490604749e-07,-6.93446633397328e-06,8.39776851154345e-06,-9.63659374291232e-05,8.35412455093315e-06,-2.93220319827614e-05,0.000108920379738932,-7.33243978370793e-05,-3.69679593484445e-06,-8.08670238267669e-06,1.3880803715673e-05,-1.26732395644884e-05,-1.36879550212335e-05,-1.77660357774086e-05,1.24732170029385e-06,6.07274252571031e-06,-1.64271934657359e-05,-1.55333077657356e-05,2.77123947029318e-05,-6.40481114364731e-05,2.80918268506231e-05,-7.95508285830459e-05,-6.28103231415761e-07,-9.43319248847379e-06,1.17532386555754e-05,-1.22125052902896e-05,4.77226915698066e-05,-6.00220118536299e-05,0.000268828406409699,0.000333349745593922,0.000198350675194661,0.000338519695013773,0.000575747610781278,0.000383219154240722,-0.00107239863694947,-4.17260448571546e-05,0.000553623098129851,0.000178636283917733,9.37935738374748e-05,0.000303489714056919,-0.000254070471398456,6.71344711626335e-05,2.61075419452277e-05,9.19213322057459e-05,0.000336109586563619,-1.21523296689517e-06,-4.96145663030479e-06,-5.3090753076876e-07,3.69020919211337e-07,8.20097608473905e-07,-3.0170750655645e-06,2.27046390478195e-07,1.33117941070222e-07,-7.82739852635064e-07,-2.67509434802659e-06,-0.00129745422250968,-0.00161032236718835,0.000527747893746849,-0.000991033987170421,-0.000930747237627327,0.000528295835298771,-0.000223481513935723,-0.00108045678315925,0.000392844143829727,0.000260861657180621,-1.8879649004664e-08,-0.0140746917802787,0.00219819081926704,0.00515097871381162,0.00902404049171404,-0.000135342493156213,7.68934275417652e-05,0.000341495877538641
"east_of_england","alpha_H",0.000108008195123689,-0.000226175204877437,9.50748251219888e-05,4.02113386688801e-05,7.06004734290252e-06,1.39642844911384e-05,-2.9823754586789e-05,9.69477189105968e-06,3.81711210020264e-06,-6.03978607204879e-06,9.41204279647163e-06,-1.72792745765067e-06,3.51953121944184e-06,-1.01032586963409e-05,1.14592692870498e-05,-1.99794977084605e-05,-1.71750909075562e-06,-7.4960418359331e-08,6.88239691051383e-06,2.228994792948e-07,1.00337563151817e-06,-1.44093306999708e-07,9.52645466135027e-07,1.56857865851721e-05,-1.81702897373701e-05,1.12788832411221e-05,-4.18696475741946e-06,3.22808869403597e-06,4.32986606086517e-06,-4.10270117274007e-06,4.5449530488333e-06,-7.34490845300832e-06,-4.585550320504e-09,-2.22837669284927e-06,4.06245522365124e-06,-2.64473038759807e-06,-4.75187805020732e-06,1.16335673439e-05,-7.71766017474514e-06,-6.23416591149837e-06,8.36869473377157e-05,0.000246094575588599,-5.85062034151538e-05,-4.91939692858787e-05,7.28430555579837e-05,-2.2138191067895e-05,-0.000306439001246412,-0.000220626942579724,-0.000133779368719589,0.000126715019021184,5.57499400671863e-05,-9.95601913238112e-05,9.48736887851085e-06,-1.30381590456633e-05,6.76952456280686e-05,3.69821899017804e-06,-2.23189426427076e-05,-3.30517674903442e-07,6.8255969594539e-07,4.20996225578435e-07,1.75196558336184e-06,-6.12072669508032e-08,-1.14411134710616e-07,5.39042843149249e-07,5.67566900072411e-07,6.0893195566793e-07,-1.28865483530102e-06,-0.000148998246698772,-5.09737078335034e-05,7.02748206984882e-05,-4.08799178749744e-05,0.00030644318666242,0.000208020135021796,0.00013333581988724,-0.0005116123238194,0.000132071686084192,-1.83946173628171e-05,-3.37939503534595e-06,0.00030317070465177,0.00181559296016896,0.00348512845117925,4.94027141462889e-05,3.99507708744396e-05,-5.13465319154747e-05,5.57462721538105e-05
"east_of_england","beta1",4.84473606401553e-05,-5.67596858990746e-05,3.12619527283338e-05,7.06004734290252e-06,2.08520417953716e-05,7.0239073006135e-06,-6.2095759854415e-06,-2.96094819685343e-06,4.75294731191762e-06,-3.38944653622982e-06,4.39040573163147e-06,-3.74211975766168e-07,1.21492380569255e-06,-3.90386184854263e-06,4.31703846950392e-07,-3.03768330906627e-05,-1.41791747097497e-06,-2.03939528587617e-08,1.65804469216405e-05,-1.25173563220309e-05,4.0493190624447e-06,1.30883252523191e-07,9.51186343650044e-07,5.58809936560381e-06,-1.46835149073593e-06,2.5165024471628e-06,9.66303077440148e-07,3.76922726628899e-06,3.54121773188762e-08,6.825079784746e-07,2.79267127476713e-06,-1.8231205413877e-06,2.42417619537411e-06,2.87293386993698e-06,-1.15838860796684e-07,-2.46772910418563e-06,7.40075992379723e-06,-6.48084796051291e-06,7.65381195124983e-06,-9.91850581000571e-06,-8.8585626750497e-05,-5.43889236200953e-06,-4.2746208600021e-05,-2.49520419272723e-05,4.14491645223594e-05,0.000133944668691424,-3.73500652459407e-05,2.37561315636408e-05,3.80599401370004e-05,0.000117744452767901,5.21001983477579e-06,-2.10108596793176e-06,5.4643622035952e-05,2.58678417590335e-05,2.31291781623077e-05,3.04355228473911e-05,0.000306982342144959,-1.41753660123445e-08,4.37916744881101e-07,4.10057110608807e-07,3.53858877957549e-07,-1.10831338899534e-07,-3.46449383056883e-07,1.63368130917946e-07,3.25458571302628e-07,-2.17919512655458e-07,-2.77417995713478e-07,0.000381309928645565,0.000166799662378348,4.48282507510362e-05,-0.000126197601950065,-8.74049147607549e-05,4.62237286896485e-05,7.67259341999406e-05,-0.000170845308243794,1.45243478368233e-05,3.09846391495778e-05,-1.19512254019093e-06,0.00038170761064195,-0.00854735704986214,0.000137028289988806,0.00645982450511748,-8.17023214518666e-06,-7.03219736255392e-05,2.69404867656544e-05
"east_of_england","beta10",4.4094794619378e-05,-6.96049983755878e-05,3.07827760568147e-05,1.39642844911384e-05,7.0239073006135e-06,7.86304807651111e-06,-1.42191097927561e-05,3.4846883476789e-06,1.19723390460313e-06,-8.91439379836312e-07,3.46874832402099e-06,-2.77336905722667e-07,1.39126967458062e-06,-3.25004175883348e-06,3.78151222065643e-06,-2.12448393306066e-05,1.72836649448442e-07,-1.02498976983816e-06,7.76845327405517e-06,-3.94857834354689e-06,2.04613212649039e-06,-1.20100014910447e-07,1.50911656255154e-06,5.73552587095981e-06,-5.59672769881328e-06,5.34912393710197e-06,3.73555451224445e-07,2.34428277643582e-06,2.17101619913915e-06,-1.51122879770851e-06,2.6518755488512e-06,-4.12452176243774e-06,2.40114625607e-06,-3.18080352851396e-06,4.80358597302192e-07,-1.29333283846333e-06,4.98745499245891e-07,2.32371212376229e-06,-1.34375850850952e-06,-5.18959542815684e-06,-2.64754428856859e-05,2.24253048471701e-05,-2.98011202691242e-05,-4.33680250858514e-05,2.48020230612382e-05,3.11589035378727e-05,-0.000105157992611579,-7.21427962231514e-05,-3.44641728872376e-05,6.05455872795863e-05,1.40414741680825e-05,-1.99642640242301e-05,1.74226118619429e-06,3.30483924705226e-05,3.14881489512152e-05,4.93961543007553e-06,5.61601494905508e-05,-1.59575174311926e-07,2.84908555699683e-07,2.80233137620981e-07,6.49524485613636e-07,2.50025364518357e-07,-9.77875091910879e-08,2.15480683876275e-07,2.30607624991846e-07,1.67118123272811e-07,-3.76193633412935e-07,5.71116800033144e-05,8.14860823849209e-05,2.8011686742276e-05,-9.50362225737198e-05,2.09746772486326e-05,7.74439217155751e-05,5.77978433194728e-05,-0.000168532285400782,3.09982658317256e-05,-4.62302974410579e-08,-1.02834996787838e-06,-0.000953613598659869,-0.000951472415131307,0.0013194585029,0.00148868225094413,-2.20135735551895e-06,-2.7485429869639e-05,3.01900953593761e-05
"east_of_england","beta11",-7.07341730807644e-05,0.000132365865499308,-8.16743636165848e-05,-2.9823754586789e-05,-6.2095759854415e-06,-1.42191097927561e-05,3.33839470013615e-05,-1.25369183026071e-05,2.37681610838805e-06,-1.22518315448736e-06,-3.9621398648674e-06,5.9234663703978e-07,-1.99639626807767e-06,4.98564983457956e-06,-7.1894048345594e-06,3.54118405375529e-05,-2.33563092944904e-06,6.06458346858956e-06,-1.65113024572596e-05,8.55934354460701e-06,-1.14546927267409e-06,9.6027291020543e-07,-2.79488170476001e-06,-7.86936684514328e-06,1.10930130452726e-05,-7.09825783112838e-06,-8.9592531223195e-07,-2.84610434301808e-06,-3.42082282262856e-06,5.04145128233857e-06,-6.17968258762108e-06,1.36929862098366e-05,-7.30712519145217e-06,1.74184000009503e-05,-9.11434224757688e-07,1.60542446335943e-06,3.53380532431133e-06,-8.6393236735078e-06,4.89408438787149e-06,8.058624876637e-06,2.60498888102789e-05,-6.76852071877625e-05,2.49479150010679e-05,7.19408424674076e-05,-8.4169851742056e-05,-4.29640518067688e-05,0.000298690151389486,0.00019377445653727,4.86698664594579e-05,-7.22932775984148e-05,-3.35048058462147e-05,2.74277756881329e-05,3.92886340147565e-05,-5.04979309450026e-05,-6.96051704764009e-05,6.82199838874763e-07,-8.48176237547957e-05,2.9235413207722e-07,-1.31338328929575e-07,-3.63712750709611e-07,-1.1248416789918e-06,-3.62813334623181e-07,2.90558676488552e-07,-4.11581157686325e-07,-3.56992897320403e-07,-3.13404242828774e-07,5.49349959147471e-07,-8.55193032602209e-06,7.47838012155548e-05,-8.53333417661338e-05,0.000215121906141937,-5.63032497942843e-05,-0.000140851165877654,-7.12787469383742e-05,0.0002782027302408,-3.11883650344855e-05,-8.7175639372709e-07,1.17520847440725e-06,0.00258856510985126,-0.00312999310135754,-0.00303528094204879,-0.000645029762071116,-1.8128888095811e-05,1.10285973735254e-05,-5.33620736795494e-05
"east_of_england","beta12",6.02379792004701e-07,3.2380589564751e-05,2.644212509414e-05,9.69477189105968e-06,-2.96094819685343e-06,3.4846883476789e-06,-1.25369183026071e-05,7.95205975146858e-06,-4.55766989525076e-06,2.02240640294342e-06,-2.75272737323582e-07,-5.53392383696394e-07,-8.13443114479015e-08,4.11122859266039e-07,8.71732753488777e-07,-2.45487240526327e-06,2.95282888349234e-06,-4.46213838509562e-06,2.68422745414282e-06,8.88310444224269e-07,-1.73650542948045e-06,-5.64841592226109e-07,8.12520386140447e-07,8.89043811143813e-08,-1.71510635647193e-06,-9.67577674199859e-07,-2.96510537805669e-07,4.17470659994331e-08,1.50931935860441e-06,-2.98322573697272e-06,1.92122421367431e-06,-7.21305711882804e-06,3.41186998927237e-06,-1.22089389358516e-05,4.98597882915217e-07,6.12730127887306e-07,-5.27085547912975e-06,5.90502133100885e-06,-3.81122561443725e-06,-3.75548074475483e-07,2.39348898058386e-05,7.5661933336598e-05,2.85570834487406e-05,-6.51463202252548e-06,3.91461025857838e-05,3.34598808606852e-06,-0.000127884463738997,-0.000123505758748976,-2.32152252708636e-05,-2.86001418578958e-05,1.56454669065917e-05,-5.51910605978952e-06,-6.3377289109394e-05,-3.83029435915464e-05,2.8902781042158e-05,-7.85065970055497e-06,1.17427205791897e-05,-2.69044463136777e-09,-2.70395460454678e-07,-1.00252530487861e-07,1.72224235043616e-07,-1.49642850795121e-07,-1.37254564943914e-07,3.94792319746695e-08,7.97525912862618e-08,3.64871391186669e-08,-4.83024763605235e-08,-4.18231388644205e-05,-0.000246307950777088,6.33181771928131e-05,-5.79731483651818e-05,0.000119479134815059,9.54384857270689e-06,4.07408113336709e-05,-5.47504985280139e-05,-2.08929015928278e-05,-8.94714288690786e-06,1.71863864634877e-07,-0.000619650770981887,0.00376305378161291,0.00141079481577728,-0.00117209456033645,2.71634580740709e-05,6.31726005754552e-06,1.4246585628485e-05
"east_of_england","beta13",4.2796658092758e-05,-0.000151985400302998,-6.00552887430569e-06,3.81711210020264e-06,4.75294731191762e-06,1.19723390460313e-06,2.37681610838805e-06,-4.55766989525076e-06,7.08907616204936e-06,-5.36537215462353e-06,4.78686578960329e-06,-3.77467035263541e-07,1.77287818003986e-06,-4.75568904282712e-06,3.96399528449286e-06,-4.22376290926304e-06,-4.41897349327517e-06,5.17366220549908e-06,-2.20037103763136e-06,-1.6375919672964e-07,1.79111699397524e-06,1.11485325237487e-06,-1.64034910799431e-06,7.37175218567544e-06,-6.88681458675916e-06,6.99898140695778e-06,-9.79758938304054e-07,-1.22963610284433e-07,1.11713601249281e-06,2.03039262987372e-06,-4.17575356467348e-07,6.13784281798172e-06,-3.10218908079386e-06,1.158356825478e-05,1.06561785917019e-06,-1.21439889966502e-06,2.28410587795634e-06,5.52311505447115e-07,-2.85647849441795e-06,1.26958120604139e-06,-2.68679716951751e-05,3.71431937367273e-05,-4.69729869941604e-05,-3.09836596135898e-07,-5.47928785383613e-06,-2.40953873138331e-05,2.71494848237534e-05,4.12618167082305e-05,-5.31867832449208e-05,9.50928853410549e-05,1.48127603398627e-05,-5.75869299103061e-05,7.26543970039939e-05,2.18285590355407e-05,6.60938451739967e-06,7.80837577915621e-06,-5.62585267731396e-05,-6.79104045535316e-08,8.69505370424184e-07,2.87797136761327e-07,6.02353304605054e-07,-5.65756936629908e-08,2.09039758347484e-07,2.10468789095253e-07,1.86514774817668e-07,2.44624566948277e-07,-4.45345405730288e-07,2.91044463683021e-05,0.000244365277754513,-7.77877463510566e-05,0.000105952922392199,8.88011502936174e-05,4.73797033115583e-05,3.90867642248949e-05,-0.000127136883456119,6.58872020162016e-05,-2.83151680164578e-06,-1.62988406428048e-06,0.00148666029417889,-0.00289212014575221,-0.000351265320098803,0.00077677047223562,-5.49032003145672e-06,-1.67908261909165e-05,-2.67423501987999e-05
"east_of_england","beta14",-3.90032775899783e-05,0.00010228541136468,1.16701120656563e-05,-6.03978607204879e-06,-3.38944653622982e-06,-8.91439379836312e-07,-1.22518315448736e-06,2.02240640294342e-06,-5.36537215462353e-06,7.15013731956947e-06,-6.30110949175393e-06,1.55562125327433e-06,-1.6686772715139e-06,5.2686560210243e-06,-3.60477500705889e-06,-1.60783186769591e-09,3.38523213181713e-06,-4.08798537153953e-06,5.4109603942487e-06,-4.1576451093646e-06,-7.1560293747156e-07,-7.53998807901757e-07,1.99690930882855e-06,-8.1938741389898e-06,6.04805785277905e-06,-5.23576841371383e-06,2.04336005773725e-06,-2.80049314443777e-07,-2.21955294579251e-06,-1.00391010542046e-06,4.16870982281224e-07,-5.46152313226942e-06,3.68875422596957e-06,-1.13007684096557e-05,-1.80852957468185e-06,4.13166318169376e-07,1.25167726259467e-06,-3.78655590046345e-06,5.3463653410501e-06,-2.8746150401375e-06,1.44725159665082e-05,-0.000108082629349819,4.27435990308237e-05,1.62346773409987e-05,-8.61598413577265e-07,2.81496195973452e-05,3.53584013719896e-05,2.98429552244066e-05,8.03008661424603e-05,-7.18251588608302e-05,-2.07618132370628e-05,7.84459656459634e-05,-4.50842611104208e-05,1.94715881647097e-05,-2.0954009482731e-05,-4.20258845002943e-06,-1.02344785584279e-05,-5.88804364892311e-08,-8.49308095229355e-07,-2.52871186221496e-07,-6.99573208206006e-07,2.9277001187101e-07,-2.01488916254851e-07,-2.17914818538261e-07,-3.09129897154386e-07,-2.4508121055046e-07,3.32948563714051e-07,-4.01139330391822e-05,-8.86221893199049e-05,4.22819010129229e-05,-0.000140113746914634,-0.000233952764551504,-2.14922857805746e-05,-7.25184892996998e-05,0.000170272204221372,-4.61722102948598e-05,1.71632602136483e-05,1.7836271676375e-06,-0.0030698842329443,0.00160706486347098,-0.000147760151112022,-0.000194051251348915,-3.73942555964017e-05,3.48055930335399e-05,3.43022594182113e-05
