"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.33809164405741e-05,6.48293453965694e-06,3.12633371294769e-07,2.80677649274379e-07,7.43270449125465e-07,-3.34023321746108e-07,9.61038427504027e-07,-3.55857724483633e-07,-1.65222250134333e-07,-5.38080914606784e-07,-9.89275786078913e-07,-2.15461620822397e-07,-5.2683300543594e-07,-6.23959326726932e-07,-3.1853278472375e-07,5.18458201571945e-07,-6.22327128012641e-07,-3.41890737094291e-08,-1.96692203602328e-06,6.45777803396297e-07,-1.19737018613793e-06,-1.4314436122995e-07,-6.93457874789644e-07,-8.20827227646036e-07,-5.97878051729086e-07,-1.25979953314116e-06,-2.6425185524643e-07,-5.62749370545416e-07,-8.045522667067e-07,6.03241822405025e-07,-9.90479820953177e-07,9.4030849610107e-07,-3.89216816324556e-07,5.55785737297896e-07,1.90605022665966e-07,-5.66569149343712e-07,6.75664314485167e-07,-5.3088267201706e-07,3.81698243622585e-07,-1.9768177540007e-07,-1.70376761363334e-05,-9.4157693439119e-06,1.63293272468184e-05,1.07331839118495e-05,4.26912545996017e-06,-1.18660320174886e-05,-2.00366031934765e-06,9.80859776775485e-06,-9.73890731484789e-06,-1.74776457847119e-06,3.46552315662817e-06,8.09425414601689e-06,-3.38226458892107e-06,1.22533096670559e-05,-1.41332898253564e-07,1.17863147294076e-07,4.80634861533512e-06,-1.23861455527951e-08,-1.25134011381703e-08,-5.41785232505017e-08,-6.41251189314043e-10,-1.58882468551709e-07,2.72896657420413e-08,5.30371280560149e-08,2.50894679592431e-09,2.1311585759395e-08,-1.66911058870222e-08,1.92801386344403e-05,-6.72258913886782e-05,-8.98792491576865e-06,1.28931976531134e-05,-3.34733331873249e-05,8.6575881955642e-08,1.38935975398793e-05,2.89834445390945e-08,1.50664987148697e-06,-4.63149951480542e-06,1.80877884909079e-08,0.000921895705899028,0.000483847627110432,-0.000122994694179771,0.000451227450377181,1.25381570564122e-05,1.91287823569925e-06,-7.2503974442864e-06
"east_of_england","alpha_D",6.48293453965694e-06,0.000832742490851613,-2.37700469698312e-05,3.21255764958178e-06,1.11691184009009e-05,-5.39884843080716e-06,9.78393981533952e-06,-2.49438591628376e-06,1.70099794696014e-07,-4.92488834442118e-07,6.62661033133721e-07,-2.73552243614694e-07,-2.16207274787731e-07,-1.05994018845747e-06,2.02533407624589e-07,-8.43077281139487e-06,-2.00868763063927e-06,-8.36667273610713e-07,-8.96365769962756e-06,8.61459896627424e-06,-8.51840490616989e-06,2.79598246382744e-07,-1.55221244875966e-06,-1.0211652788447e-05,1.77945417747148e-06,-6.49699215901416e-06,1.24995501151111e-07,-3.11765304810987e-06,-5.24346862232539e-06,3.9411634912622e-07,1.02649058072096e-06,-3.83165817025321e-06,6.75389824610489e-06,-1.86301066141193e-05,-1.71886738092215e-06,4.32956929773357e-06,-2.64926487650471e-06,-9.60767338912343e-07,4.95971709545601e-06,4.40578960459988e-07,9.38634089271339e-05,1.20155168661486e-05,0.000198049522603253,-2.45149780040374e-05,3.35860567781349e-05,8.78215743941712e-05,-5.88826622183568e-05,0.000102252910768099,-4.28173712407214e-07,-4.6259323946967e-05,2.42827703652939e-05,-3.14992995427271e-05,8.61678705588239e-05,5.56048502411241e-06,-1.59904513329539e-05,-5.25256519983765e-06,-8.25460957621369e-06,1.13314246378291e-07,3.4499860017934e-07,-2.95464660586193e-07,-3.01799953666245e-07,-1.63199850010318e-07,-2.36806032906618e-07,-2.23946958753398e-07,4.19402301092067e-08,1.86447787192542e-08,-3.79106883999019e-08,-0.000267639162116313,-0.000806157745953871,0.000292178665093207,-0.000217156736925052,0.000138318456727227,-7.14130879575253e-05,-8.21088583169797e-05,9.46010281889196e-05,1.62817390741155e-05,-3.01069912987877e-05,8.57717494194445e-08,0.00125728637107816,0.00540353323829884,-0.00149899105849917,0.00440183815792758,6.0138817789214e-06,6.68503042728305e-05,-5.23415035756279e-05
"east_of_england","alpha_death_hosp",3.12633371294769e-07,-2.37700469698312e-05,3.25000851606674e-05,-1.81003969346127e-06,-2.94715051393218e-06,4.26506256220003e-07,1.71354933495659e-07,-2.44390534942252e-07,2.55575264841721e-07,-1.59338372697716e-07,6.23429602391181e-07,-1.65530307633183e-08,1.50999775536551e-07,1.42108506076228e-07,3.04550867752801e-07,3.42134774118612e-06,-5.94386789266313e-08,1.11344976966109e-07,9.46854050100669e-07,-9.77281926742348e-07,7.03368321356889e-07,-3.25969707200557e-07,1.33002195783587e-07,2.83033274896939e-07,2.16471955807125e-07,1.29413034631529e-07,-1.34889082859097e-07,-1.26145887887145e-07,6.9001326914142e-07,-7.62417477611927e-07,1.10201056588521e-06,-8.70169509995516e-07,5.92269710941503e-07,2.86750293414662e-07,4.12674311723606e-07,-7.76884594708861e-07,3.13532217842161e-07,-6.60845559355101e-08,-1.26366802169808e-07,-4.02115139983912e-07,1.77846290263932e-05,7.38128012822968e-06,-2.03137582246253e-05,1.89006837745727e-05,6.28185885989043e-06,-8.74602815317556e-06,3.77750428600554e-06,-8.78077757044214e-06,2.71525728242533e-06,-7.22124307615599e-07,7.87583500865783e-07,2.24734165541093e-06,-3.85374216727633e-05,-7.9292438341763e-06,5.90394065188541e-06,-1.2204339758138e-06,-2.23690924887809e-06,-2.3297052516336e-08,8.57173037848887e-09,3.12822418475792e-08,-9.3740038815995e-09,2.3317239133175e-07,-1.17014601912365e-08,1.84335592310869e-08,4.49390028930547e-09,-4.85233391342935e-09,-9.47660168260183e-08,-5.85311164250243e-06,-3.52301296883118e-05,-1.47976733156332e-05,1.84473284469121e-05,3.67043750100354e-05,-9.53442088084341e-06,2.15239491717393e-05,-1.66101278794331e-05,1.59285516242757e-05,2.83062863556384e-06,-1.5313080414535e-08,-6.69313721013769e-05,0.00017647060957765,-0.000144855173769852,-0.00116368647402706,-5.2447562315075e-06,6.38663202759968e-07,-4.21271974059457e-06
"east_of_england","alpha_H",2.80677649274379e-07,3.21255764958178e-06,-1.81003969346127e-06,8.38380890483422e-07,2.1610384574907e-07,-1.06028519048238e-07,2.32820569794589e-07,-4.59662124772078e-08,-5.11533355679876e-08,1.22217995177128e-07,-1.25032834593029e-07,9.89331027849044e-10,-3.06900882934225e-08,1.8123527573714e-08,-6.46752002226563e-08,-5.08639869871184e-07,9.14821513515657e-08,1.76867639773458e-08,-2.68354494204459e-07,2.38697101845368e-07,-6.47221731046318e-08,1.28598398914952e-08,-2.14847680351917e-08,-2.9038068474353e-08,-3.35411265443316e-08,-7.67495115872429e-08,-2.70437753564298e-08,4.80502908002123e-09,-1.56110627883606e-07,1.00598795273276e-07,-1.11501716114414e-07,1.07961342002546e-07,5.89241098300787e-09,-3.55400071376736e-07,-8.85244992349392e-09,7.74117228758066e-09,1.27045027157653e-07,-1.25643518612267e-07,2.61401931644207e-07,-5.52275814037097e-08,3.18088873382754e-08,7.5405170616257e-07,3.9664513484243e-06,1.55555297981389e-06,1.02939988017078e-06,3.70637498355591e-06,4.99453484380204e-07,1.92891485925119e-06,-7.02760144411616e-07,1.80117323499223e-07,7.23537560460916e-07,-1.75225115360533e-06,8.87511221613063e-06,-8.18101113359099e-07,-7.90106929031275e-07,1.73458362701671e-07,-1.06065042806444e-07,7.39074027603366e-10,7.41832595428125e-10,-6.01374380789031e-09,-7.92548021445298e-10,-3.12699853344443e-08,-9.70971449031881e-09,-3.37349051087605e-09,-3.31070671827035e-09,-4.71645411398625e-10,-2.99848861720864e-09,-2.01846574162829e-07,-6.85404302918021e-06,1.61237528057226e-06,-3.14309885107747e-06,1.24870179611789e-06,1.21067994138379e-06,-6.24135864372132e-06,3.07027534787218e-06,-1.75837320122109e-06,-1.17522143153584e-06,-1.70966895162319e-08,4.02417259127157e-05,0.000111410845841261,-8.91156561838275e-06,2.43710292593843e-05,8.78718177323999e-07,-2.67204291089833e-07,8.07626969326424e-08
"east_of_england","beta1",7.43270449125465e-07,1.11691184009009e-05,-2.94715051393218e-06,2.1610384574907e-07,1.36700865494183e-06,-1.06086094206059e-07,2.13743123908486e-07,-1.0007490047939e-07,-4.65060105430917e-09,-9.51515099420879e-08,-1.77323182987204e-07,-3.19756503830611e-08,-1.24319280287696e-07,-5.67059940333347e-08,-1.58869605411645e-07,-1.3925577129783e-06,-9.22303139262358e-08,-4.9688613777811e-08,-7.02339210018123e-07,3.34880193637912e-07,-3.6092670345095e-07,-7.06864940153452e-08,-1.04798393930322e-07,-2.48827396494451e-07,-4.04445739046771e-07,-7.28908488343132e-08,-2.8157158289573e-08,-2.52976168181343e-07,-2.21898222315897e-07,-7.72968255809894e-09,-2.89473441305096e-07,7.37765352508485e-08,-2.9895609715719e-08,-5.51197149821992e-07,-3.7278111946827e-08,1.01186487483236e-07,-5.96298459513676e-08,3.17034296611607e-08,7.49855066762701e-08,-2.78221911128627e-08,-2.20829107433745e-06,-1.75372949090395e-06,7.85774410715991e-06,-2.29596513812426e-06,3.44586172050498e-06,-8.41274474399396e-06,-6.75143521593919e-07,1.88467647641324e-06,8.19145579260879e-07,8.02748994857912e-07,6.45093978102859e-07,6.08883156123376e-09,9.22739104562384e-06,2.10326704754446e-06,-7.62008537174084e-07,5.61940870257377e-07,4.24631667379754e-06,4.43354551769864e-09,1.54489511318594e-08,3.26891337674352e-11,3.31518281744788e-09,-5.31189686223932e-08,-1.05542821486944e-09,-9.55155064156625e-10,-4.96981187420078e-09,2.59770176026643e-09,8.81532026640267e-10,-4.70651533011717e-06,-1.03628253173593e-05,6.50395410862222e-06,-7.64964339026653e-06,-1.20646699744896e-06,-6.2918328453347e-06,-4.52196094129992e-06,-1.75888568851957e-06,3.37955853502496e-06,-6.40210086354874e-07,7.01563966172691e-09,0.000191155353908545,0.000128458377305784,2.71991095078032e-05,0.00056115256786154,3.00540247584369e-06,1.79543215124786e-06,-2.1910343770344e-07
"east_of_england","beta10",-3.34023321746108e-07,-5.39884843080716e-06,4.26506256220003e-07,-1.06028519048238e-07,-1.06086094206059e-07,2.48942933313249e-07,-2.91078517168541e-07,1.08254974954599e-07,-2.16113661119985e-08,3.37747985753324e-08,3.38761310175586e-08,-2.35776090250865e-09,2.04388706453163e-08,-4.12256977523824e-08,8.42207974332721e-08,-6.66103700934132e-09,-2.61305132682362e-08,3.59850852869398e-08,1.55092850104892e-07,-1.64818135658557e-07,1.25094209511795e-07,-3.47118183095074e-08,8.37251608558786e-08,4.32337624875158e-08,4.96137339479053e-08,6.27582694172715e-08,8.82602769177673e-09,1.70027636529844e-08,1.10510172842825e-07,-6.42961615814673e-08,1.00265773860803e-07,-7.51988319562515e-08,1.03677584103991e-07,-6.02994273153119e-08,-7.87347489781865e-10,1.09110384634316e-08,-6.54397116196506e-08,7.61989999263487e-08,-3.61454985357876e-08,-2.01716803068819e-07,6.03836668352551e-07,-1.0925309611337e-07,-1.51676008765169e-07,-1.03264172388094e-06,5.13974799524658e-07,-7.15460806814615e-06,1.26487700497613e-06,-1.41398424840561e-06,6.19245373105601e-07,1.72829711132129e-07,-2.53625376223715e-07,4.08412195170787e-07,-6.99182962031199e-08,-1.17924958306833e-06,8.10523365504301e-08,-2.51505288509698e-08,-2.60367900244557e-08,-2.66759991586716e-09,2.60516672177127e-09,9.22743667846925e-09,1.88265102377591e-09,2.11712677303802e-08,5.32271734449426e-10,1.74882903172921e-09,8.97867229447594e-10,1.49127517561178e-09,-5.965584825913e-09,5.1890173711593e-07,2.85903786161183e-06,-4.63388518926556e-07,-3.52346208843359e-07,4.07218944835609e-07,-1.10412212722301e-06,-2.63738639153222e-07,-2.74094475622267e-06,2.70729126942024e-06,1.5923192692445e-07,1.37963016656166e-08,2.81378682601668e-06,-3.43714012015389e-05,-3.29076665199865e-06,-4.90131913241252e-05,-2.01188387879751e-07,-6.44977281021904e-07,-1.95061232281564e-07
"east_of_england","beta11",9.61038427504027e-07,9.78393981533952e-06,1.71354933495659e-07,2.32820569794589e-07,2.13743123908486e-07,-2.91078517168541e-07,8.20770879386438e-07,-3.86520512136672e-07,1.80477505333841e-07,-2.31551125481324e-07,3.08266880311934e-08,-9.60655737168178e-09,-5.24197718504232e-08,2.00947702627539e-08,-8.79611226081466e-08,2.75108078140077e-07,-6.43757610833275e-08,-1.14167069210767e-07,-3.2213757592271e-07,2.22367505536042e-07,-3.18426154881849e-07,-2.12071931834654e-08,-1.41166113643692e-07,-2.27486241644726e-07,-1.8664192250058e-07,-2.24350988609819e-07,-4.2549282299198e-08,-1.03738111345543e-07,-2.64221466266545e-07,1.46641027539899e-07,-1.65634625197377e-07,1.68513804656469e-07,2.70037742931238e-08,-3.93793536285812e-07,7.11826593916256e-09,-3.58627772478326e-09,8.16745065803944e-08,-9.79658552996725e-08,1.69195014811576e-07,4.59472671332533e-08,8.53453890006324e-07,-1.06386874870593e-06,3.5206785436806e-06,2.27284244319776e-06,-1.05812458135599e-06,9.16638540214122e-06,4.49264993615388e-07,3.06101917777306e-06,-9.19672407220108e-07,-3.16202541543889e-07,5.56953210944651e-07,-1.29635492857326e-06,-2.43657589714239e-06,1.91608569298391e-06,-3.73219321262153e-07,3.72634047194162e-08,3.72795296285509e-06,2.11614473515481e-09,3.22765418626417e-09,-1.64124921153344e-08,-5.99262990909422e-09,-2.51983014061726e-08,-4.01706311138232e-10,4.7298964866483e-09,-2.28044197691856e-09,-7.83926248595287e-11,6.42425457393174e-09,-6.5289077456917e-06,-1.38184130805711e-05,2.30819895782494e-06,5.07368397955145e-07,1.61005235644448e-07,1.29580685740892e-06,1.43676486069051e-06,2.50753113317777e-06,-1.16820017020563e-06,-1.38397516631394e-06,-4.28280953199727e-09,0.000152835919469978,0.000146854055832571,-5.26828394465928e-05,8.61267174077054e-05,1.19818079605878e-06,2.63419729636327e-06,-2.31176347864998e-06
"east_of_england","beta12",-3.55857724483633e-07,-2.49438591628376e-06,-2.44390534942252e-07,-4.59662124772078e-08,-1.0007490047939e-07,1.08254974954599e-07,-3.86520512136672e-07,3.13858518572094e-07,-2.26403962450377e-07,2.80604892031964e-07,-1.2177491430011e-07,-6.9633550066445e-09,5.04321593928725e-09,7.0368746184605e-09,-5.29674498760438e-08,-1.16135411228132e-07,8.68488776286323e-08,-2.75660603240791e-08,1.48166733235437e-07,-1.81212600447753e-07,1.2551493172624e-07,-3.19087317633931e-08,5.80923721743902e-08,4.03512915253297e-08,-2.34534185135784e-08,1.55355125212899e-07,3.76190687615524e-08,-5.44947238523887e-08,7.02764715611592e-08,-4.82509313283212e-08,4.695661574846e-08,-4.65697947226373e-08,-1.96233442971687e-08,9.67392630253226e-08,-9.0218416983411e-09,1.15913970575117e-09,-4.4900089687364e-08,8.60234512405967e-08,-1.09901903514357e-07,1.8330631181192e-08,7.74058331668862e-07,-3.90308889741437e-07,-3.23351030967863e-06,-1.37343691261728e-06,6.96463886336244e-07,-2.79456927259813e-06,-1.54347865292513e-07,-8.25456862880941e-07,4.6076477457877e-07,-2.33795173864596e-07,-5.84182800009255e-07,9.18390438395392e-09,3.41597776130273e-06,-1.3257614909276e-06,2.05252709161741e-07,-1.9918640550554e-07,-1.56526889006549e-06,-3.20351754812971e-09,-1.25758811354196e-09,5.7272836739455e-09,2.92506810855561e-09,1.24036515277101e-08,-3.73020626585953e-09,-5.74523017581439e-09,2.45501037149047e-09,-2.24488122848044e-10,-3.34428153462184e-09,7.27269980683592e-07,1.27975689079208e-05,-1.58847737179041e-06,-3.18170670013907e-06,4.58710608493234e-06,-2.00923145370228e-06,-2.81938490880947e-06,-3.05619775036971e-07,1.62137677916167e-06,1.6678429968826e-07,-9.24023559443105e-09,-2.66386221524621e-05,-3.86125130808721e-05,1.69554846532145e-05,-4.25270232178542e-05,5.48665953740351e-08,-8.6087664053533e-07,5.22833359104762e-07
"east_of_england","beta13",-1.65222250134333e-07,1.70099794696014e-07,2.55575264841721e-07,-5.11533355679876e-08,-4.65060105430917e-09,-2.16113661119985e-08,1.80477505333841e-07,-2.26403962450377e-07,2.67344468966796e-07,-2.98080361490439e-07,2.07889996514509e-07,1.87769191161861e-08,3.50490100642131e-08,-4.7221032011444e-09,1.22247073592824e-07,2.20466621745619e-07,-7.42071581290362e-08,1.01231262437461e-07,-3.88738666335975e-08,1.51618658368187e-07,-6.69855459641019e-09,5.49283969014902e-08,3.09734322887557e-08,4.83153062084073e-08,1.41980441470999e-07,-7.44101196697876e-08,-3.29893382530617e-08,1.42849106646713e-07,6.26399994576304e-08,4.50957604027948e-08,7.97330757350881e-08,-5.08485905518907e-08,1.78599208329287e-07,-1.48994956026077e-07,1.20298601289353e-08,4.72834141637585e-09,2.50184225196286e-08,-5.99325459368239e-08,6.21090043461122e-08,-3.3737912638179e-08,-1.01418091131874e-06,1.14674163555229e-06,2.54991793321456e-06,7.41480635829154e-07,-3.16584577206294e-07,4.80243040998677e-07,-2.69369340932243e-07,-3.230800832034e-07,1.03630847862061e-07,1.51006358418847e-07,3.59275638136953e-07,-1.19182457170092e-07,-5.14223074188758e-06,7.31180866595052e-08,-1.08196316257544e-07,1.89826786024945e-07,1.29420347735837e-06,4.01167933151022e-09,2.51597194553824e-09,-1.33915072106366e-09,-2.28369403441782e-09,7.49026350289379e-09,4.47632953753219e-09,3.9190363091317e-09,-4.92752065944162e-10,-3.01098742254502e-10,7.87613180950842e-10,-3.0579635103406e-07,-8.79660397228209e-06,1.26036009091335e-06,3.40196060100096e-06,-4.57100127516764e-06,2.00049425637722e-06,3.39769195163648e-06,-3.51120278729848e-07,-1.29390126012837e-06,1.12063805419743e-07,1.86698492057631e-08,-1.30265663936389e-05,-2.17187416133152e-05,-1.32943041519221e-05,-2.60262298328745e-06,-8.11001717325687e-07,4.64235992917886e-08,-5.50559926036484e-07
"east_of_england","beta14",-5.38080914606784e-07,-4.92488834442118e-07,-1.59338372697716e-07,1.22217995177128e-07,-9.51515099420879e-08,3.37747985753324e-08,-2.31551125481324e-07,2.80604892031964e-07,-2.98080361490439e-07,6.10401790782297e-07,-2.55609085080602e-07,4.78864376455845e-08,3.2230062489376e-08,1.01483036548642e-07,-8.29765241126697e-08,-3.28625318345948e-07,2.10949345349947e-07,-7.42243091299763e-08,3.24744627571189e-07,-2.02038046828467e-07,1.66213307151803e-07,2.04262578249542e-09,6.82774881099294e-08,6.18204394462971e-08,3.48758735322629e-08,1.84247978775652e-07,5.43831892096542e-08,-3.87097286544255e-08,7.39764136229042e-08,-4.00169753665719e-08,3.07474218357888e-08,1.50917294476553e-08,-3.98361236521893e-08,-1.09082048022182e-07,-9.15895000267062e-09,5.00724291587342e-09,-5.28551146976913e-08,1.03490403952716e-07,-6.26086362229369e-08,3.7087299489294e-08,1.90324329386846e-06,-9.10995674126322e-07,-4.18051483523526e-06,-3.36566457065061e-07,-1.40552459946846e-06,1.17104334872424e-06,4.74220353425737e-07,7.11501480811317e-07,1.64375043177119e-07,-5.61215055482711e-07,-7.45544684840441e-07,-1.18080357895147e-06,5.64627316897322e-06,-1.88486035498498e-06,1.43045567106328e-07,-2.79091694833743e-07,-2.82619298989558e-06,-7.31331434705754e-09,-4.98514442767515e-09,3.19265268727278e-09,1.24081200144493e-09,7.11743031410838e-10,-1.08936375050396e-08,-1.0202958416173e-08,-9.21147221572629e-10,-3.4497232968018e-10,-1.61194605256425e-09,-1.91500298874539e-06,1.72428033293926e-05,-1.28285614221326e-06,-3.67318546528036e-06,1.2076019376372e-05,-2.77299582319529e-06,-5.19826565440767e-06,6.52246142169997e-07,2.11198769522675e-06,-5.63749372440515e-07,-2.20032031536088e-08,-0.000117013555402786,-1.1596802838292e-05,1.98400349366996e-05,-6.66389159945309e-05,-1.36040911987312e-06,-5.66928190353426e-07,1.18883310201249e-06
